"dph","I(dph^2)","dt","I(dt^2)","dph:dt","I(dph^2):I(dt^2)","df","logLik","AICc","delta","weight"
68.314624801877,-57.077676041006,-3.17292014762074,-0.74999451801185,-16.913712172936,-8.76966988098071,8,-964.024622654209,1944.85371458216,0,0.955618753732095
59.2836105280808,-71.5218992981698,-1.84073090773439,-0.934086318888207,-2.80806282919416,NA,7,-968.896163587848,1952.41454939792,7.56083481575797,0.0218006902571547
54.2538115259337,-75.6024182463553,-0.994212946676353,-0.959629567529689,NA,-1.60249200224175,7,-968.95156599978,1952.52535422178,7.67163963962071,0.0206257278343161
55.7546968886694,-75.0371276023149,-1.28025597680371,-0.963014048250358,NA,NA,6,-973.556744659764,1959.57757771732,14.7238631351568,0.000606789990476247
52.9694232534497,-77.133843292171,NA,-1.10051927590431,NA,-1.86026543273989,6,-973.714921296358,1959.89393099051,15.0402164083448,0.000518015992406602
67.5079324834018,-60.3425859581513,-6.78931912832028,NA,-4.7456837237127,NA,6,-974.156366398807,1960.7768211954,15.9231066132434,0.000333139397235848
95.3604257049997,NA,-2.9595855542842,-0.8015266692727,-5.45537210767787,NA,6,-974.214767350979,1960.89362309975,16.0399085175875,0.000314240953835263
NA,-163.828231057133,0.471482077810205,-1.1536120482031,NA,-3.07154940160288,6,-975.039682672424,1962.54345374264,17.6897391604773,0.000137723043730767
54.3115239976316,-77.046633594962,NA,-1.15445201863967,NA,NA,5,-978.322734791936,1966.97513991354,22.1214253313826,1.50202854923567e-05
61.8420410871273,-65.8603291205657,-6.08200527017721,NA,NA,NA,5,-978.877413928246,1968.08449818616,23.2307836040018,8.62549642106156e-06
91.805264832424,NA,-1.910457540394,-0.850516381740771,NA,NA,5,-978.950971140467,1968.2316126106,23.3778980284433,8.01380199967885e-06
97.6110951317893,NA,-7.16247174647063,NA,-6.83123148540014,NA,5,-979.294190061111,1968.91805045189,24.0643358697309,5.68565527528023e-06
NA,-167.59567773187,0.0126608770703934,-1.17388310308624,NA,NA,5,-979.74586239461,1969.82139511889,24.9676805367287,3.61927616332982e-06
NA,-164.100805644557,NA,-1.08501824691513,NA,-2.97502783586309,5,-979.778639022914,1969.8869483755,25.0332337933382,3.5025715337905e-06
91.111802080152,NA,NA,-1.13612102325335,NA,NA,4,-983.763097186418,1975.74477360781,30.8910590256489,1.87230426486225e-07
93.2214537290003,NA,-6.14503068383846,NA,NA,NA,4,-984.108705650652,1976.43599053628,31.5822759541154,1.32519740767263e-07
NA,-167.563911829541,NA,-1.1711678524508,NA,NA,4,-984.472124536419,1977.16282830781,32.309113725649,9.21403294911091e-08
NA,-169.487813957561,-5.83447949283034,NA,NA,NA,4,-985.443798702081,1979.10617663913,34.2524620569734,3.48704082999282e-08
57.9150009401173,-69.6798212867577,NA,NA,NA,NA,4,-987.41525532566,1983.04908988629,38.195375304133,4.85583923257127e-09
91.1248876565043,NA,NA,NA,NA,NA,3,-992.708540974331,1991.54751673127,46.6938021491108,6.93193302256752e-11
NA,-166.04624631049,NA,NA,NA,NA,3,-993.700999721027,1993.53243422466,48.6787196425016,2.56941941042879e-11
NA,NA,NA,NA,NA,NA,3,-999.248491510319,2004.62741780325,59.7737032210853,1.00135928273128e-13
NA,NA,2.61554371546927,-1.47080670566436,NA,NA,4,-1001.05929630656,2010.33717184809,65.4834572659324,5.76411438869521e-15
NA,NA,NA,-1.0878383282354,NA,NA,3,-1006.0201935652,2018.17082191301,73.3171073308461,1.14730026160921e-16
NA,NA,-4.8561578980764,NA,NA,NA,3,-1007.2375522946,2020.60553937181,75.7518247896542,3.39613475250799e-17
