"dph","I(dph^2)","dt","I(dt^2)","dph:dt","I(dph^2):I(dt^2)","df","logLik","AICc","delta","weight"
69.6491496612546,14.595196724281,-7.10787394942483,-0.481830293126888,-15.625470653954,-3.385185137349,8,-4147.98414390943,8312.14919234148,0,0.98804205208392
59.3510788508486,1.74122035062061,-5.89464781519005,-0.662181937142069,-6.10763838286192,NA,7,-4153.65812990994,8321.45678679604,9.3075944545617,0.00941145940468465
55.4583165190177,3.21830462284858,-4.72401575282613,-0.775424778528375,NA,0.908291328852212,7,-4155.15707858415,8324.45468414446,12.3054918029848,0.0021021893687402
58.2356082333903,NA,-5.90422492883596,-0.663583033993005,-6.20711432246014,NA,6,-4158.23054269861,8328.56634855512,16.4171562136416,0.000269051397962129
60.1261688558998,2.06371756502611,-8.60702613109221,NA,-6.61338832204575,NA,6,-4159.08250940115,8330.2702819602,18.1210896187222,0.000114770643127954
57.4312557103516,10.2316590849513,-4.4374519404531,-0.775177101714946,NA,NA,6,-4159.92241236966,8331.95008789721,19.8008955557325,4.95525023391728e-05
54.4478780300084,3.45463466468733,NA,-1.74273562755741,NA,0.594931035258256,6,-4162.03884968229,8336.18296252247,24.0337701809858,5.96909573745604e-06
58.8097653897422,NA,-8.62529062096236,NA,-6.7330876885547,NA,5,-4163.66359543275,8337.40228473284,25.2530923913619,3.24441268487358e-06
50.067380871348,NA,-4.34933489394143,-0.794017951902183,NA,NA,5,-4164.756783536,8339.58866093934,27.4394685978568,1.08735293182677e-06
58.2804097203498,11.541476085619,-7.52172428616564,NA,NA,NA,5,-4165.683804808,8341.44270348333,29.2935111418537,4.3029897023865e-07
55.7868678436286,8.12321845421582,NA,-1.70306164757328,NA,NA,5,-4166.5880462814,8343.25118643014,31.1019940886581,1.7420604639477e-07
50.0076782408061,NA,-7.50842543963281,NA,NA,NA,4,-4170.57625610697,8349.20251221394,37.0533198724643,8.88687866355905e-09
NA,-62.4783214254313,-4.20861621392415,-0.901944947684863,NA,1.55523590980159,6,-4168.91911194793,8349.94348705376,37.7942947122774,6.13548090065493e-09
49.8992252570388,NA,NA,-1.70306233645137,NA,NA,4,-4171.34567562057,8350.74135124115,38.5921588996662,4.11713020228053e-09
NA,-54.0035716515213,-3.61913934860452,-0.914254891560123,NA,NA,5,-4174.5076936173,8359.09048110193,46.9412887604485,6.33292125516888e-11
NA,-60.6390092795177,NA,-1.75538141248785,NA,1.23222185621762,5,-4175.28126407035,8360.63762200803,48.4884296665514,2.92177459693075e-11
NA,-53.8904799792335,NA,-1.66662308517466,NA,NA,4,-4180.4588012672,8368.9676025344,56.8184101929164,4.53747682963916e-13
NA,-53.8509389807091,-7.26613473270687,NA,NA,NA,4,-4180.67640392291,8369.40280784582,57.2536155043417,3.65015063808011e-13
49.9071880583397,4.13137475142201,NA,NA,NA,NA,4,-4202.65066660712,8413.35133321424,101.202140872763,1.04474369791924e-22
NA,NA,NA,NA,NA,NA,3,-4206.37831299818,8418.78658854317,106.637396201688,6.89856977899206e-24
46.8341207861656,NA,NA,NA,NA,NA,3,-4207.36898156434,8420.7679256755,108.618733334024,2.56163453644822e-24
NA,NA,-3.6505101944337,-0.801437975926513,NA,NA,4,-4208.4860044712,8425.0220089424,112.872816600919,3.0531962877616e-25
NA,-50.3598704413313,NA,NA,NA,NA,3,-4213.55393161407,8433.13782577496,120.988633433482,5.27749089133647e-27
NA,NA,-6.85001700371672,NA,NA,NA,3,-4214.25830269467,8434.54656793615,122.397375594668,2.60929401968452e-27
NA,NA,NA,-1.55653464181785,NA,NA,3,-4214.42209062996,8434.87414380674,122.724951465265,2.21508717394325e-27
