"dph","I(dph^2)","dt","I(dt^2)","dph:dt","I(dph^2):I(dt^2)","df","logLik","AICc","delta","weight"
181.915105768936,-17.8087024782907,11.277627794658,-3.37399365975355,512.932949168696,106.031314750024,8,-124.462277301992,274.524554603984,0,0.999522621946608
1383.05407313786,1224.24051083941,-9.70625513879599,-2.16883897619058,NA,8.26166886243855,7,-135.097023809606,291.194047619213,16.6694930152285,0.000239915447291213
1330.67208371615,1212.54004298057,-17.7097397224073,-0.435956648256478,-2.47532029714061,NA,7,-135.146388767377,291.292777534754,16.7682229307703,0.000228359604811604
1312.04042555694,1187.4770766146,-15.046893231812,-0.755601964264398,NA,NA,6,-141.573001974075,300.087180418739,25.5626258147551,2.81150565056417e-06
1224.34774865346,1111.48697060694,-17.9755033569235,NA,18.1350387434462,NA,6,-141.650338648583,300.241853767755,25.7172991637709,2.60226829031886e-06
1359.35114885184,1203.10430249142,NA,-3.44717432471463,NA,6.2297369525435,6,-141.746540731109,300.434257932807,25.909703328823,2.36358941352748e-06
390.548313313293,NA,-23.143581396358,0.351923442891965,17.6192581680205,NA,6,-142.81351826402,302.568212998628,28.0436583946438,8.1318541606839e-07
NA,-445.832314577302,-14.0784466982533,-2.63853068836431,NA,8.84457640118581,6,-143.919583573219,304.780343617026,30.255789013042,2.69049085892177e-07
197.703983561337,NA,-9.7993039040089,NA,135.448333155707,NA,5,-146.11865578431,305.570644901954,31.0460902979696,1.81225696401911e-07
1291.88637620957,1160.41309991448,-19.2680687498233,NA,NA,NA,5,-148.054238268619,309.441809870572,34.9172552665875,2.61581475459523e-08
1290.3183380214,1153.9977486039,NA,-3.03250525797746,NA,NA,5,-148.127425391661,309.588184116655,35.0636295126712,2.43120858935173e-08
419.77904171159,NA,-19.5230177131651,-0.470157697906625,NA,NA,5,-149.286984169575,311.907301672484,37.3827470685,7.6248664734529e-09
NA,-394.594127038955,-23.6956489182617,-0.407157107067496,NA,NA,5,-150.516040950279,314.36541523389,39.8408606299064,2.23079501288572e-09
NA,-446.978305851578,NA,-4.6304748637177,NA,7.37745536280481,5,-150.827112528328,314.98755838999,40.4630037860055,1.63441746756002e-09
1405.31957041434,1260.18604565102,NA,NA,NA,NA,4,-155.448636613106,321.002536384106,46.4779817801223,8.07657293489705e-11
425.94279394633,NA,-21.8099793025011,NA,NA,NA,4,-155.827200419927,321.75966399775,47.2351093937654,5.5311947112461e-11
424.095673766381,NA,NA,-3.42963828213766,NA,NA,4,-155.925907718595,321.957078595084,47.4325239911001,5.0113058776298e-11
NA,-409.574081931959,-25.7676359141356,NA,NA,NA,4,-157.22846427275,324.562191703394,50.0376370994102,1.36225304696674e-11
NA,-405.041902146282,NA,-4.03611317085791,NA,NA,4,-157.347036341175,324.799335840245,50.2747812362609,1.20993654098871e-11
NA,NA,-20.2293896934067,-1.75358428671511,NA,NA,4,-158.171511727044,326.448286611983,51.9237320079991,5.305147734787e-12
462.7480584439,NA,NA,NA,NA,NA,3,-163.477107250017,334.154214500033,59.6296598960493,1.12558034949775e-13
NA,NA,NA,NA,NA,NA,3,-164.931360190237,337.062720380474,62.5381657764898,2.62907197219838e-14
NA,-448.257746844387,NA,NA,NA,NA,3,-165.04812899809,337.296257996181,62.7717033921967,2.33932426911454e-14
NA,NA,-30.9215378169061,NA,NA,NA,3,-165.048909445048,337.297818890096,62.7732642861122,2.33749926285844e-14
NA,NA,NA,-4.86689557615346,NA,NA,3,-165.178024548968,337.556049097936,63.0314944939517,2.05436451751641e-14
