"dph","I(dph^2)","dt","I(dt^2)","dph:dt","I(dph^2):I(dt^2)","df","logLik","AICc","delta","weight"
118.063159446239,-74.9636397384135,-3.78722717103726,-0.204403141491924,12.7956715010579,30.3898103620655,8,-558.497997031267,1134.86612393266,0,0.992323328337812
119.083068088006,-73.8518765465599,-4.96532224166752,-0.0221315951520543,NA,22.1792401474602,7,-564.906300842574,1145.24849912104,10.3823751883817,0.005522669761502
120.67427535892,-72.0574271999461,-6.56345240003075,0.238015587477468,-29.7287834360516,NA,7,-565.921238864729,1147.27837516536,12.4122512326921,0.00200155298882708
120.219001328949,-72.0674710950818,NA,-0.912823116035323,NA,19.1560831022342,6,-570.50838371243,1154.0800585641,19.2139346314375,6.67421677466598e-05
153.462946425416,NA,-6.28672614787142,0.184130964307158,-31.030551467751,NA,6,-571.402574649572,1155.86844043838,21.0023165057214,2.72934300610833e-05
NA,-301.584420602895,-6.98266049447217,0.332446026138814,NA,17.490200826298,6,-571.532178554999,1156.12764824924,21.2615243165765,2.39757310071712e-05
120.723288583943,-71.7413591984912,-5.35450127016865,NA,-28.6016525775441,NA,6,-571.551705840344,1156.16670281993,21.3005788872656,2.35120916084901e-05
111.045622772495,-82.4719124047332,3.25828795625521,-1.21644532935099,NA,NA,6,-572.414761062085,1157.89281326341,23.0266893307476,9.9190743317592e-06
153.3885842034,NA,-5.36564705239784,NA,-30.1461877218808,NA,5,-577.024109070603,1164.79821814121,29.932094208543,3.1403751198601e-07
NA,-301.281296477143,NA,-0.916771995374734,NA,13.1812091793573,5,-577.180286997485,1165.11057399497,30.2444500623078,2.68629878771645e-07
109.048085775307,-85.1578607458873,NA,-0.60135218459155,NA,NA,5,-577.882244182578,1166.51448836516,31.6483644324937,1.33136821393483e-07
107.982202971822,-86.4897312058771,-2.59166671383172,NA,NA,NA,5,-577.985086507404,1166.72017301481,31.8540490821458,1.20125257020283e-07
148.33482860585,NA,4.06995566342969,-1.3492277595833,NA,NA,5,-578.002972543907,1166.75594508781,31.8898211551509,1.17995792894374e-07
NA,-294.775262947832,-0.10449373366284,-0.678035781327506,NA,NA,5,-578.920131534131,1168.59026306826,33.7241391355999,4.71573546103657e-08
147.348967492449,NA,NA,-0.581324348890233,NA,NA,4,-583.472288621775,1175.43840440404,40.572280471381,1.53636511610818e-09
146.946872727514,NA,-2.40914352918231,NA,NA,NA,4,-583.581778852978,1175.65738486645,40.7912609337861,1.37703010337829e-09
111.69658026218,-82.2091361295663,NA,NA,NA,NA,4,-583.715571915787,1175.92497099207,41.0588470594046,1.20458609494668e-09
NA,-294.787076918386,NA,-0.697133915027,NA,NA,4,-584.379753440447,1177.25333404139,42.3872101087254,6.1999398264915e-10
NA,-293.65216542624,-3.37259275730196,NA,NA,NA,4,-584.450961800015,1177.39575076052,42.529626827861,5.77380452910504e-10
148.611139659863,NA,NA,NA,NA,NA,3,-589.286183126258,1184.86504917935,49.9989252466826,1.37887384354824e-11
NA,-297.732637871329,NA,NA,NA,NA,3,-590.301038783409,1186.89476049365,52.0286365609845,4.99779365705711e-12
NA,NA,NA,NA,NA,NA,3,-593.229312351582,1192.75130762999,57.8851836973295,2.67328504820759e-13
NA,NA,1.85168734815937,-0.887151124177549,NA,NA,4,-593.381228388046,1195.25628393659,60.3901600039226,7.64005659579035e-14
NA,NA,-2.63259978351664,NA,NA,NA,3,-598.991471343184,1204.2756256132,69.4095016805345,8.40565218436815e-16
NA,NA,NA,-0.563105748120396,NA,NA,3,-598.994181547294,1204.28104602142,69.4149220887539,8.38290199402854e-16
