"dph","I(dph^2)","dt","I(dt^2)","dph:dt","I(dph^2):I(dt^2)","df","logLik","AICc","delta","weight"
127.300090314511,53.0693816917609,16.4103339992358,-4.1573688761117,77.2511872615906,5.46638491237147,8,-126.560756933754,276.321513867508,0,0.918685196163479
131.440905179782,58.6062902282925,15.3835450487747,-3.9796662444625,65.42269035657,NA,7,-131.36770916158,282.068751656494,5.74723778898613,0.0519003025045155
165.565111110371,102.815666213913,5.40241524003077,-2.31743790945076,NA,-26.1434719751036,7,-132.124294826707,283.581922986747,7.26040911923945,0.0243550435071549
100.70675586239,NA,15.6459089800904,-4.02466206404771,66.1580384728093,NA,6,-136.103021601741,288.024225021664,11.7027111541561,0.00264213667438819
163.119441054407,101.471337225567,NA,-1.37373534932086,NA,-25.5946658661388,6,-136.926237990386,289.670657798954,13.3491439314462,0.00115994379055739
115.810942238578,33.9517762048389,-6.63182576598063,NA,57.0002974767075,NA,6,-137.152712497554,290.12360681329,13.8020929457822,0.000924869197441794
NA,-158.233656605002,1.9248540766189,-1.72433439284615,NA,-28.3995970980134,6,-138.448773006718,292.715727831618,16.3942139641096,0.000253051192505635
99.3851453131261,NA,-6.64551082887462,NA,57.3315817848953,NA,5,-141.918141844316,296.444979340806,20.1234654732976,3.92113425451684e-05
185.516833862325,79.5080121846189,-2.61730533333997,-1.44599312646661,NA,NA,6,-140.668242292548,297.154666403278,20.8331525357701,2.74982543464938e-05
NA,-160.327471849694,NA,-1.39327396421165,NA,-28.2341208447559,5,-143.334062785891,299.276821223956,22.9553073564479,9.51667110691214e-06
190.807154308286,88.0633921556952,NA,-1.87220463615733,NA,NA,5,-145.573742252374,303.756180156923,27.4346662894148,1.01345536706725e-06
146.68042628248,NA,-3.03543380108297,-1.38846575193135,NA,NA,5,-145.59191830065,303.792532253473,27.4710183859654,9.95201150698631e-07
177.644129685644,74.6661365327842,-10.1019527859098,NA,NA,NA,5,-145.648607963795,303.905911579765,27.5843977122569,9.4035288565558e-07
NA,-231.945369929414,-9.81823693447272,-0.274993473616933,NA,NA,5,-147.162535036239,306.933765724652,30.6122518571437,2.06919151114183e-07
147.982009397285,NA,NA,-1.89119124894813,NA,NA,4,-150.499902622171,310.666471911008,34.3449580435002,3.20076536084343e-08
142.356528454905,NA,-10.2172260533931,NA,NA,NA,4,-150.559829176174,310.786325019015,34.4648111515068,3.01458869850845e-08
NA,-233.048917801368,-11.1402097749353,NA,NA,NA,4,-152.153146063028,313.972958792723,37.6514449252147,6.1271616009271e-09
NA,-233.471035964463,NA,-2.00507277366201,NA,NA,4,-152.323573471799,314.313813610265,37.9922997427572,5.16706174876755e-09
190.12292783577,75.7977872741634,NA,NA,NA,NA,4,-153.868056892653,317.402780451972,41.0812665844637,1.10276512870986e-09
NA,NA,-11.5312360239188,-0.232216732146915,NA,NA,4,-155.697909061463,321.062484789593,44.7409709220849,1.76924641761458e-10
151.96692519723,NA,NA,NA,NA,NA,3,-158.84667525041,324.653350500821,48.3318366333127,2.93793202367993e-11
NA,-234.894856374194,NA,NA,NA,NA,3,-160.386213872591,327.732427745181,51.4109138776731,6.30127763070455e-12
NA,NA,-12.6780121082581,NA,NA,NA,3,-160.879964721526,328.719929443053,52.3984155755447,3.84587660406487e-12
NA,NA,NA,-2.22943343923151,NA,NA,3,-161.05127019426,329.062540388521,52.7410265210127,3.24039776644864e-12
NA,NA,NA,NA,NA,NA,3,-161.068698895004,329.097397790008,52.7758839224999,3.18441114769783e-12
