modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,,,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
;Anthony,1,2008,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,614.5,314.5,7.9,7.9,-0.3,2412.5,,1200,28.5,35,56,5,1.412,0.31,,,-0.847095493,0.021436915,0.606671245,3.102174389,-3.102174389
;Anthony,1,2008,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,615.5,312.5,7.9,7.9,-0.3,2412.5,,1200,25.5,35,56,5,2.235,0.62,,,-0.100381699,0.027182685,0.610081962,0.38683327,-0.38683327
;Anthony,1,2008,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,1187.5,887.5,7.65,7.65,-0.55,2412.5,,1200,28.5,35,56,5,-2.588,0.72,,,#NUM!,0.0272766,0.761051904,7.728776411,-7.728776411
;Anthony,1,2008,Porolithon onkodes,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Adult,1186,883,7.65,7.65,-0.55,2412.5,,1200,25.5,35,56,5,-0.588,0.28,,,#NUM!,0.057143461,0.468187996,6.533700187,-6.533700187
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Clathromorphum;Anagnostou et al.,2,2019,Clathromorphum compactum,,Mesophyllumaceae,Hapalidiales,USA. Main,Atlantic,Cool Temperate,Adult,2957,2608,7.25,7.25,-0.82,2339,2434,258,8.9,31.9,120,3,3.52,0.14,,,0.153204158,0.001415409,0.165166583,-3.027246748,3.027246748
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Clathromorphum;Anagnostou et al.,2,2019,Clathromorphum compactum,,Mesophyllumaceae,Hapalidiales,USA. Main,Atlantic,Cool Temperate,Adult,473,124,7.95,7.95,-0.12,2067,1959,258,8.6,31.9,120,3,3.39,0.37,,,0.11557309,0.004858963,0.272396769,-1.358312732,1.358312732
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Clathromorphum;Anagnostou et al.,2,2019,Clathromorphum compactum,,Mesophyllumaceae,Hapalidiales,USA. Main,Atlantic,Cool Temperate,Adult,934,600,7.71,7.71,-0.37,2107,2066,258,6.5,31.9,120,3,4.34,0.5,,,0.38268508,0.018126082,0.496689038,-2.778398345,2.778398345
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Clathromorphum;Anagnostou et al.,2,2019,Clathromorphum compactum,,Mesophyllumaceae,Hapalidiales,USA. Main,Atlantic,Cool Temperate,Adult,491,157,7.94,7.94,-0.14,2077,1964,258,6.4,31.9,120,4,3.36,0.61,,,0.126751706,0.02194172,0.582322934,-0.686904081,0.686904081
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Clathromorphum;Anagnostou et al.,2,2019,Clathromorphum compactum,,Mesophyllumaceae,Hapalidiales,USA. Main,Atlantic,Cool Temperate,Adult,829,480,7.74,7.74,-0.33,2099,2053,258,8.7,31.9,120,3,3.8,1.18,,,0.229744235,0.033030317,0.759210116,-1.027383571,1.027383571
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Clathromorphum;Anagnostou et al.,2,2019,Clathromorphum compactum,,Mesophyllumaceae,Hapalidiales,USA. Main,Atlantic,Cool Temperate,Adult,3423,3052,7.23,7.23,-0.83,2544,2660,258,12.3,31.9,120,1,4,,,,0.291020974,0.042687815,1.07,-0.943925234,0.943925234
