modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
;Bradassi et al,5,2013,Phymatolithon lenormandii,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Sweden,Atlantic,Cool Temperate,Juvenile,1240,842,,7.6,-0.4,1750,,13,17.7,22.1,14,42,24.88760132,14.17787764,-0.32379,0.000586,16.13616811,0.265707968,-0.265707968
;Bradassi et al,5,2013,Phymatolithon lenormandii,Lithothamnioideae,Lithothamniaceae,Hapalidiales,Sweden,Atlantic,Cool Temperate,Juvenile,830,432,,7.7,-0.3,1750,,13,17.7,22.1,14,32,28.39412361,17.42199358,-0.027133732,0.022531456,17.81911252,0.043828566,-0.043828566
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al.,18,2020,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Juvenile,1454,897,7.67,7.67,-0.32,,,150,26.5,35.5,51,6,4.364609,2.562914,-1.14664,0.084292,4.29788869,2.180936194,-2.180936194
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al.,18,2020,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Juvenile,1454,1069,7.67,7.67,-0.39,,,150,26.5,35.5,51,6,3.776198,4.449847,-0.99647,0.290159,5.322796419,1.212216567,-1.212216567
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al.,18,2020,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Juvenile,1095,710,7.68,7.68,-0.38,,,150,26.5,35.5,51,6,4.553152,2.852224,-0.92617,0.079294,3.094380807,2.243643699,-2.243643699
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Cornwall et al.,18,2020,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Western Australia,Indian,Tropical,Juvenile,1095,710,7.68,7.68,-0.38,,,150,26.5,35.5,51,6,6.983012,4.329161,-0.4521,0.08368,4.057191873,0.983832691,-0.983832691
;Doropolous,20,2012,Porolithon spp.,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.01,0.017320508,-1.945910149,1.020408163,0.017320508,3.464101615,-3.464101615
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Mesophyllum;Doropolous,20,2012,Mesophyllum spp.,,Mesophyllumaceae,Hapalidiales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.1,0.017320508,-1.386294361,0.775625,0.428835633,0.699568732,-0.699568732
;Doropolous,20,2012,Titanoderma spp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,1.54,0.675499815,-1.322621266,0.078384825,0.970721381,4.367885659,-4.367885659
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Doropolous,20,2012,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.33,0.190525589,-1.239690887,0.521160357,0.904157066,0.895862047,-0.895862047
;Doropolous,20,2012,Hydrolithon boreale,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,2.27,0.727461339,-1.126130318,0.075965803,1.825362978,2.59126544,-2.59126544
;Doropolous,20,2012,Hydrolithon farinosum,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,1.86,0.190525589,-1.119889687,0.010010287,0.579266778,6.629069966,-6.629069966
Athanasiadis (2016) proposed family Mesophyllumaceae but he did not designate subfamily for Mesophyllum;Doropolous,20,2012,Mesophyllum spp.,,Mesophyllumaceae,Hapalidiales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,0.14,0.017320508,-1.049822124,0.770727041,0.428835633,0.606292901,-0.606292901
H reinboldii =currently regarded as a synonym of Hydrolithon boergesenii (Foslie) Foslie;Doropolous,20,2012,Hydrolithon boergesenii,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,0.48,0.398371686,-0.864997437,0.63964994,0.937389994,0.704082617,-0.704082617
;Doropolous,20,2012,Porolithon spp.,Metagoniolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,0.03,0.017320508,-0.84729786,0.131519274,0.017320508,2.309401077,-2.309401077
;Doropolous,20,2012,Lithophyllum spp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,1301,901,7.61,7.61,-0.44,2363,,406,26,35.4,60,3,0.86,0.329089653,-0.771399377,0.0592449,0.329089653,3.038685627,-3.038685627
;Doropolous,20,2012,Titanoderma spp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,2.7,1.333679122,-0.76115191,0.095581497,1.266293805,2.432294929,-2.432294929
;Doropolous,20,2012,Hydrolithon boreale,Hydrolithoideae,Lithophyllaceae,Corallinales,Australia,Pacific,Tropical,Juvenile,797,397,7.8,7.8,-0.25,2365,,406,26,35.4,60,3,3.62,0.935307436,-0.659436123,0.063984721,1.872097754,1.805461276,-1.805461276
